,time,95,633,73,611,118,656,96,634
0,0,77.50175113419631,88.8107816110407,0.0,0.0,0.0,0.0,0.0,0.0
1,1,79.31493764233475,78.95217323979831,0.0,0.0,0.0,0.0,0.0,0.0
2,2,73.24267038657928,77.07898771275286,0.0,0.0,0.0,0.0,0.0,0.0
3,3,80.80586946990292,73.21965467544108,0.0,0.0,0.0,0.0,0.0,0.0
4,4,69.56681136130783,73.52072910175104,0.0,0.0,0.0,0.0,0.0,0.0
5,5,75.27707989007058,72.44617326066847,0.0,0.0,0.0,0.0,0.0,0.0
6,6,75.60072393598517,85.97159682983356,0.0,0.0,0.0,0.0,0.0,0.0
7,7,83.05547512461506,81.26057346470122,0.0,0.0,0.0,0.0,0.0,0.0
8,8,86.53222694789525,63.433209463368016,0.0,0.0,0.0,0.0,0.0,0.0
9,9,86.35717132263906,88.91467134232687,0.0,0.0,0.0,0.0,0.0,0.0
10,10,84.21594438649633,78.69876254927658,0.0,0.0,0.0,0.0,0.0,0.0
11,11,69.60248736056094,86.1433643850195,0.0,0.0,0.0,0.0,0.0,0.0
12,12,87.5811449155902,74.37401242054194,0.0,0.0,0.0,0.0,0.0,0.0
13,13,76.239672743174,73.75890466910234,0.0,0.0,0.0,0.0,0.0,0.0
14,14,92.2158719898368,85.42735191977539,0.0,0.0,0.0,0.0,0.0,0.0
15,15,88.84259261333744,84.03195007982917,0.0,0.0,0.0,0.0,0.0,0.0
16,16,80.5430461097224,66.85088330779652,0.0,0.0,0.0,0.0,0.0,0.0
17,17,92.93828407928306,80.89156429855146,0.0,0.0,0.0,0.0,0.0,0.0
18,18,92.24721725173814,81.2007334376521,0.0,0.0,0.0,0.0,0.0,0.0
19,19,95.21235046271599,75.87848137376514,0.0,0.0,0.0,0.0,0.0,0.0
20,20,77.30665661288884,70.8614439957093,0.0,0.0,0.0,0.0,0.0,0.0
21,21,90.87022341924379,84.28135511890693,0.0,0.0,0.0,0.0,0.0,0.0
22,22,72.1014471691731,84.47323775676924,0.0,0.0,0.0,0.0,0.0,0.0
23,23,69.94065059848205,85.8135570274358,0.0,0.0,0.0,0.0,0.0,0.0
24,24,89.65103304278261,82.04051536212701,0.0,0.0,0.0,0.0,0.0,0.0
25,25,79.18437952930651,65.63950865802087,0.0,0.0,0.0,0.0,0.0,0.0
26,26,91.71536056645614,88.1477866243521,0.0,0.0,0.0,0.0,0.0,0.0
27,27,81.74861835863167,87.64268704774759,0.0,0.0,0.0,0.0,0.0,0.0
28,28,85.86011653249166,85.73620137616854,0.0,0.0,0.0,0.0,0.0,0.0
29,29,82.57273214604912,74.31248087250356,0.0,0.0,0.0,0.0,0.0,0.0
30,30,86.91045795347353,83.01246396020466,0.0,0.0,0.0,0.0,0.0,0.0
31,31,91.42800040879571,79.93766420097671,0.0,0.0,0.0,0.0,0.0,0.0
32,32,78.50601715324794,78.47662693671644,0.0,0.0,0.0,0.0,0.0,0.0
33,33,66.89224272655531,94.39173241332368,0.0,0.0,0.0,0.0,0.0,0.0
34,34,74.17605445751806,86.77913925053215,0.0,0.0,0.0,0.0,0.0,0.0
35,35,82.26399535920531,80.71058821964559,0.0,0.0,0.0,0.0,0.0,0.0
36,36,86.07327942519088,79.42857220232001,0.0,0.0,0.0,0.0,0.0,0.0
37,37,89.29706278820903,86.57248271059076,0.0,0.0,0.0,0.0,0.0,0.0
38,38,83.7800562553415,83.88635355221703,0.0,0.0,0.0,0.0,0.0,0.0
39,39,65.38530993600997,78.5984055973882,57.57479687701446,0.0,0.0,0.0,0.0,0.0
40,40,74.97950272605745,93.0294109852405,56.760158831110516,0.0,0.0,0.0,0.0,0.0
41,41,82.10466775709844,87.31652302713493,48.15097417890611,0.0,0.0,0.0,0.0,0.0
42,42,69.41216884800403,87.22594978594557,75.76617522121461,0.0,0.0,0.0,0.0,0.0
43,43,74.59308938531612,77.96129047056252,46.23978327639207,0.0,0.0,0.0,0.0,0.0
44,44,77.25246294661432,69.83630198682573,32.59508929050253,52.376913422139495,0.0,0.0,0.0,0.0
45,45,65.48692239178895,72.85809177629802,57.8763197942147,42.767311728707305,0.0,0.0,0.0,0.0
46,46,79.55752153959394,86.7049839538162,59.93984993996041,52.082022349491254,0.0,0.0,0.0,0.0
47,47,70.80448361506325,77.35873068078847,62.77714130114561,53.00582393433608,0.0,0.0,0.0,0.0
48,48,79.97484486265441,68.76311487792807,53.093192499861914,51.187245293488864,0.0,0.0,0.0,0.0
49,49,70.72945061987406,65.67536671357385,61.040804548330584,51.83947006104154,0.0,0.0,0.0,0.0
50,50,66.70009963319924,92.22950856839452,55.519027185399,41.04635898810049,0.0,0.0,0.0,0.0
51,51,66.31063162920435,89.90579375510842,50.88239083749784,62.06106759389422,0.0,0.0,0.0,0.0
52,52,76.71321763986978,90.19663712545871,56.44646798109823,49.7130806741561,0.0,0.0,0.0,0.0
53,53,68.44394136765308,78.78814154817829,48.67662838726898,51.56648845708649,0.0,0.0,0.0,0.0
54,54,66.87120084719083,80.37059984100955,63.11516030942691,54.76605114806005,0.0,0.0,0.0,0.0
55,55,73.46957979078559,75.7158947952805,49.863859850570854,59.90973515266276,0.0,0.0,0.0,0.0
56,56,80.32613550163344,72.50536181851206,65.0266665689256,46.16615256337062,0.0,0.0,0.0,0.0
57,57,61.527143300741486,66.21628488621178,56.373775271637456,70.58160670796256,0.0,0.0,0.0,0.0
58,58,73.18514351467142,62.90139183887243,54.00463614312777,57.61874951465764,0.0,0.0,0.0,0.0
59,59,71.33735925664348,78.28881567519677,54.17459616613402,52.10088054376538,0.0,0.0,0.0,0.0
60,60,71.37146571490031,68.17998257239303,55.87771988576135,55.017175775077654,0.0,0.0,0.0,0.0
61,61,76.91343654307343,73.83681540093431,59.55862152793269,52.616785883591106,0.0,0.0,0.0,0.0
62,62,48.64374134759306,71.20186007597813,53.6966337314572,60.70168092961268,0.0,0.0,0.0,0.0
63,63,73.72250966409545,65.81613494247453,66.87468302154457,67.81263868107727,0.0,0.0,0.0,0.0
64,64,68.06200585535986,57.113788048695284,64.70883372478245,51.79793109099167,0.0,0.0,0.0,0.0
65,65,78.6803758504499,55.94415252334163,53.59934655802395,62.79242221535533,0.0,0.0,0.0,0.0
66,66,65.80039737238243,76.10441120594486,55.793874799709855,55.330284733500925,0.0,0.0,0.0,0.0
67,67,57.86896957286973,77.24265444376877,56.50368577622224,57.58415668185507,0.0,0.0,0.0,0.0
68,68,70.26363290464572,74.42473291116744,60.329853757588324,51.362385471138616,0.0,0.0,0.0,0.0
69,69,64.9128156196256,69.29885668521554,66.24195099684607,60.30521803918205,0.0,0.0,0.0,0.0
70,70,71.98379263055321,60.50725796084141,62.55588770918493,67.61917107303006,0.0,0.0,0.0,0.0
71,71,63.86980438871198,67.3306314934171,58.155893773391426,56.5060892451405,0.0,0.0,0.0,0.0
72,72,69.35075894186693,59.54668972391452,55.679636682713195,58.719801984354014,0.0,0.0,0.0,0.0
73,73,42.591114141662054,77.28276939784482,71.9850486199807,61.0021185590618,0.0,0.0,0.0,0.0
74,74,62.670917756229585,70.6340985926351,67.540918125096,58.653597537908055,0.0,0.0,0.0,0.0
75,75,69.77927411804689,63.87163305917925,70.06025049382744,51.98062609428707,0.0,0.0,0.0,0.0
76,76,49.270892797344594,63.90890131419699,68.55216484748358,65.40822057527546,0.0,0.0,0.0,0.0
77,77,55.66373946258642,70.83115988403657,56.36899084092714,60.355732955152476,0.0,0.0,0.0,0.0
78,78,73.15197496755422,61.11513220565644,57.912549678316104,63.660064765108345,0.0,0.0,0.0,0.0
79,79,61.01367679405968,89.75825689736293,52.40139880245507,72.60686686022481,0.0,0.0,0.0,0.0
80,80,59.708168690130805,63.12002711889775,52.99663777251311,71.4020702102478,0.0,0.0,0.0,0.0
81,81,62.826399275032344,76.70580680644501,69.97866804276262,58.02362100110848,0.0,0.0,0.0,0.0
82,82,58.232505806760855,63.3737105259569,66.00336528919863,71.14582618794849,0.0,0.0,0.0,0.0
83,83,62.811295263846034,58.12719284780053,45.71848822755348,72.895490708543,0.0,0.0,0.0,0.0
84,84,60.628326689933715,61.378243783851474,65.01003680272768,58.051018949813816,0.0,0.0,0.0,0.0
85,85,64.39346859040329,63.15966156078835,55.10689074437178,71.25909234284198,0.0,0.0,0.0,0.0
86,86,79.98672798022847,67.05933245477345,53.09647237701547,53.084769003451264,0.0,0.0,0.0,0.0
87,87,64.65055599776167,58.69795900644609,61.95248608736058,60.28535744018031,0.0,0.0,0.0,0.0
88,88,60.53965257062724,60.49945995738619,76.06344074746059,65.91081996713413,0.0,0.0,0.0,0.0
89,89,73.57885536636735,65.23099430747841,69.97842455718404,66.27017566116001,0.0,0.0,0.0,0.0
90,90,48.57943602414634,69.57818573407522,52.52241568571161,74.64330033426344,0.0,0.0,0.0,0.0
91,91,51.509071239784134,52.49968551787955,68.28503363734711,77.44593487810144,0.0,0.0,0.0,0.0
92,92,55.9988078025325,60.09027956210636,47.38779784353089,75.34395857644535,0.0,0.0,0.0,0.0
93,93,44.82892151304069,68.97043507431269,57.618915557607956,74.66720503101497,0.0,0.0,0.0,0.0
94,94,45.782863645327204,60.56006915743169,61.40583061805281,71.1989226330583,0.0,0.0,0.0,0.0
95,95,54.98460581376575,57.38204373864633,73.70152339755242,66.29356465816437,0.0,0.0,0.0,0.0
96,96,42.5161671615788,53.62352391331292,69.34886562015461,66.25460077314003,0.0,0.0,0.0,0.0
97,97,58.28448175329484,59.43085099148924,56.82710564741299,80.44322162782004,0.0,0.0,0.0,0.0
98,98,53.88607294041689,55.845014538557834,64.08329781680114,63.08676870307263,0.0,0.0,0.0,0.0
99,99,48.103186650862,68.75128362906784,64.02278649362654,70.60436909927964,0.0,0.0,0.0,0.0
100,100,50.21896760466495,63.94331444111281,67.60861320948277,57.20511214735343,0.0,0.0,0.0,0.0
101,101,46.90501381240756,35.71157073656727,74.10510434408292,67.64377574234754,0.0,0.0,0.0,0.0
102,102,57.085124654230036,42.10893900849923,66.19288068852109,60.01026115009789,0.0,0.0,0.0,0.0
103,103,55.56043058225885,58.09064261876252,76.5362169108575,89.52303687877013,0.0,0.0,0.0,0.0
104,104,0.0,39.84170796067522,68.54506399688746,63.802572639859314,0.0,0.0,0.0,0.0
105,105,0.0,56.87808537347067,82.9254798833191,66.38017722832433,0.0,0.0,0.0,0.0
106,106,0.0,46.76051471944396,68.36993941169999,72.84435884277582,0.0,0.0,0.0,0.0
107,107,0.0,47.30403106012582,70.19227163879073,66.56893318922936,0.0,0.0,0.0,0.0
108,108,0.0,64.46459724576373,67.32914220196689,79.40697721221491,0.0,0.0,0.0,0.0
109,109,0.0,40.18880239427525,66.90818242819967,72.33303398812697,0.0,0.0,0.0,0.0
110,110,0.0,0.0,69.21804494743927,70.09329427025685,0.0,0.0,0.0,0.0
111,111,0.0,0.0,72.31969872916397,71.89127273432385,0.0,0.0,0.0,0.0
112,112,0.0,0.0,81.91277741398083,80.00933262714722,0.0,0.0,0.0,0.0
113,113,0.0,0.0,70.48881439325064,88.45510123315142,0.0,0.0,0.0,0.0
114,114,0.0,0.0,82.19787184379652,57.147248475804176,0.0,0.0,0.0,0.0
115,115,0.0,0.0,79.36013417885128,75.56135793229413,0.0,0.0,0.0,0.0
116,116,0.0,0.0,69.09938101160573,65.00312467533695,52.52818481078367,0.0,0.0,0.0
117,117,0.0,0.0,77.77594634638659,66.7166429689961,29.911952519871797,0.0,0.0,0.0
118,118,0.0,0.0,69.60196623432103,47.298090932890545,53.851759891105445,0.0,0.0,0.0
119,119,0.0,0.0,60.064607226111974,75.30101662708687,46.82362861098182,0.0,0.0,0.0
120,120,0.0,0.0,77.87213268678514,64.6321990600467,54.010300738995696,0.0,0.0,0.0
121,121,0.0,0.0,71.60210162323003,69.28620518194445,63.808666408884754,0.0,0.0,0.0
122,122,0.0,0.0,69.6361261553713,67.90158873966239,45.710027844981205,0.0,0.0,0.0
123,123,0.0,0.0,79.96339327614581,69.07026761813222,58.89068056783198,0.0,0.0,0.0
124,124,0.0,0.0,64.99887059404341,71.28786029052813,62.617473018830054,0.0,0.0,0.0
