,time,547,569,1334,1312,1357,570,1335,548
0,0,82.34856613366559,76.6874373428779,81.2366057684452,0.0,0.0,0.0,0.0,0.0
1,1,82.69827169069944,76.27796801040708,80.7503172661613,0.0,0.0,0.0,0.0,0.0
2,2,83.04320114931791,75.86792910900705,80.26429573233827,67.80177626785276,0.0,0.0,0.0,0.0
3,3,83.38310262271126,75.45749320775377,79.7787372984091,67.98708399920115,0.0,0.0,0.0,0.0
4,4,83.7177293126118,75.04682111473012,79.2938236238647,68.16881293850267,0.0,0.0,0.0,0.0
5,5,84.04680795953834,74.63606859258256,78.80973654890194,68.34685500781679,0.0,0.0,0.0,0.0
6,6,84.37007861182074,74.22538639796177,78.32663685092028,68.52111805285408,0.0,0.0,0.0,0.0
7,7,84.68729552950202,73.81490794400234,77.84469276115125,68.69148880449723,0.0,0.0,0.0,0.0
8,8,84.99817060755532,73.40478065316908,77.36405882094888,68.85787015721816,0.0,0.0,0.0,0.0
9,9,85.30246314739723,72.9951286534995,76.88486971290928,69.0201654178069,0.0,0.0,0.0,0.0
10,10,85.59989035432226,72.58608978321917,76.40726775511715,69.17827839791912,0.0,0.0,0.0,0.0
11,11,85.89020167507367,72.17778503930039,75.93138253531608,69.33210258346384,0.0,0.0,0.0,0.0
12,12,86.17313808980984,71.7703193191998,75.45733792171113,69.48154842473092,0.0,0.0,0.0,0.0
13,13,86.4484321840047,71.36381108701681,74.98525219031495,69.62652175488584,0.0,0.0,0.0,0.0
14,14,86.71583388754277,70.95836856389454,74.51523815451158,69.76692930215788,0.0,0.0,0.0,0.0
15,15,86.97508559139105,70.5540844761692,74.04739083500297,69.90267878980352,0.0,0.0,0.0,0.0
16,16,87.22593092122577,70.15106473771434,73.58181298396242,70.03368461062306,0.0,0.0,0.0,0.0
17,17,87.46814122049466,69.74939991737867,73.11859012734516,70.1598568420012,0.0,0.0,0.0,0.0
18,18,87.70146421580938,69.34917142319236,72.65782145760507,70.28111808314,0.0,0.0,0.0,0.0
19,19,87.92565885543773,68.95046809924322,72.19957142990759,70.39738121741871,0.0,0.0,0.0,0.0
20,20,88.14050477866768,68.55336431477991,71.74392441060124,70.50856626999989,0.0,0.0,0.0,0.0
21,21,88.34577653477946,68.15793649988393,71.29094287456748,70.61460059579464,0.0,0.0,0.0,0.0
22,22,88.54125267761827,67.7642524779,70.8407028460333,70.71541337257396,0.0,0.0,0.0,0.0
23,23,88.72672511472467,0.0,70.39324787966338,70.81092998891165,0.0,0.0,0.0,0.0
24,24,88.90199968884299,0.0,69.94864656522735,70.90108348135277,0.0,0.0,0.0,0.0
25,25,89.06688771448799,0.0,69.50694694289886,70.98581469491869,0.0,0.0,0.0,0.0
26,26,89.2211972937183,0.0,69.06819393187254,71.06505521270255,0.0,0.0,0.0,0.0
27,27,89.36476982834144,0.0,68.63242407850052,71.1387560628611,0.0,0.0,0.0,0.0
28,28,89.49742618623499,0.0,68.19968713393527,71.20686492438033,0.0,0.0,0.0,0.0
29,29,89.61903964644473,0.0,67.77000861372213,71.26932613556333,0.0,0.0,0.0,0.0
30,30,89.72944532927647,0.0,0.0,71.32610383832511,0.0,0.0,0.0,0.0
31,31,89.8285316240325,0.0,0.0,71.37714743825795,0.0,0.0,0.0,0.0
32,32,89.91618585348648,0.0,0.0,71.42242052044057,0.0,0.0,0.0,0.0
33,33,89.99230361276149,0.0,0.0,71.46189517758079,0.0,0.0,0.0,0.0
34,34,90.05678899244056,0.0,0.0,71.49554046566345,0.0,0.0,0.0,0.0
35,35,90.10957324106113,0.0,0.0,71.52332822754302,0.0,0.0,0.0,0.0
36,36,90.15059657157282,0.0,0.0,71.54523894890288,0.0,0.0,0.0,0.0
37,37,90.17980829002482,0.0,0.0,71.56126180720159,0.0,0.0,0.0,0.0
38,38,90.19716690698745,0.0,0.0,71.57137723987911,0.0,0.0,0.0,0.0
39,39,90.20266796941188,0.0,0.0,71.5755860556118,0.0,0.0,0.0,0.0
40,40,90.19628864821284,0.0,0.0,71.57388034864289,0.0,0.0,0.0,0.0
41,41,90.17804322459057,0.0,0.0,71.56625514443452,0.0,0.0,0.0,0.0
42,42,90.14794609685516,0.0,0.0,71.55273168002074,0.0,0.0,0.0,0.0
43,43,90.10604867569707,0.0,0.0,71.53330501264757,0.0,0.0,0.0,0.0
44,44,90.05239309629701,0.0,0.0,71.50799638169538,0.0,0.0,0.0,0.0
45,45,89.987030619212,0.0,0.0,71.4768240865201,0.0,0.0,0.0,0.0
46,46,89.9100582688697,0.0,0.0,71.43981508128593,0.0,0.0,0.0,0.0
47,47,89.82155417214484,0.0,0.0,71.3969875339237,0.0,0.0,0.0,0.0
48,48,89.72162337003594,0.0,0.0,71.34837978774992,0.0,0.0,0.0,0.0
49,49,89.61038828792225,0.0,0.0,71.2940270998319,0.0,0.0,0.0,0.0
50,50,89.48796107273694,0.0,0.0,71.23396739928914,0.0,0.0,0.0,0.0
51,51,89.35448895629285,0.0,0.0,71.1682469926361,0.0,0.0,0.0,0.0
52,52,89.21013548789327,0.0,0.0,71.09690896493242,67.86419202975166,0.0,0.0,0.0
53,53,89.05504401191354,0.0,0.0,71.02000464051167,68.2064901885739,0.0,0.0,0.0
54,54,88.88939169756921,0.0,0.0,70.93759917660793,68.54883060368773,0.0,0.0,0.0
55,55,88.71337082884601,0.0,0.0,70.8497371273475,68.89110836555689,0.0,0.0,0.0
56,56,88.52716154154761,0.0,0.0,70.75649385813531,69.23321539035496,0.0,0.0,0.0
57,57,88.33097616770037,0.0,0.0,70.65792403325709,69.57504039700783,0.0,0.0,0.0
58,58,88.12501414506619,0.0,0.0,70.55410144621476,69.91646888780694,0.0,0.0,0.0
59,59,87.90949717266075,0.0,0.0,70.44510177195848,70.25737752362704,0.0,0.0,0.0
60,60,87.68465092142618,0.0,0.0,70.33099123140374,70.59765083107875,0.0,0.0,0.0
61,61,87.45069594356966,0.0,0.0,70.211854697205,70.93716458510424,0.0,0.0,0.0
62,62,87.20787344393406,0.0,0.0,70.08776740673508,71.27577398808447,0.0,0.0,0.0
63,63,86.9564358137986,0.0,0.0,69.95881731121395,71.61336530002053,0.0,0.0,0.0
64,64,86.69661180774357,0.0,0.0,69.8250881541738,71.94978689781298,0.0,0.0,0.0
65,65,86.4286663457675,0.0,0.0,69.68666499735428,72.28490108057713,0.0,0.0,0.0
66,66,86.15284846771284,0.0,0.0,69.54363412588314,72.61856094108374,0.0,0.0,0.0
67,67,85.86940824268255,0.0,0.0,69.39609937142906,72.95062221077856,0.0,0.0,0.0
68,68,85.57862137119903,0.0,0.0,69.24414351918881,73.28093136066617,0.0,0.0,0.0
69,69,85.28073011158887,0.0,0.0,69.08786665539279,73.60933152187461,0.0,0.0,0.0
70,70,84.9760097274356,0.0,0.0,68.92736950756564,73.93566874266263,0.0,0.0,0.0
71,71,84.66471809535172,0.0,0.0,68.76273722265272,74.25977351444168,0.0,0.0,0.0
