,0,1,2,3
0,1.69,0.114,2.06,0.628
1,2.06,0.114,2.8,0.583
2,1.82,0.308,1.95,0.628
3,2.14,0.217,2.41,0.605
4,4.16,0.4,3.36,0.548
5,3.78,0.228,4.11,0.708
6,4.15,0.28600000000000003,3.07,0.765
7,4.2,0.377,4.51,0.366
8,3.74,0.366,4.58,0.377
9,3.51,0.446,3.28,0.491
10,2.44,0.64,3.58,0.24
11,3.52,0.114,3.28,0.149
12,2.28,0.251,2.18,0.149
13,3.0,1.03,0.057100000000000005,0.96
14,2.65,1.67,0.9480000000000001,1.74
15,2.36,1.7,1.88,2.81
16,2.99,1.88,1.55,3.5
17,2.64,1.45,1.92,4.0
18,2.07,1.57,1.52,4.19
19,1.63,1.87,1.05,4.63
20,2.04,1.87,1.15,4.3
21,1.86,1.94,1.06,4.57
22,1.87,1.8,0.937,4.88
23,2.11,1.95,1.14,4.26
24,1.74,1.82,0.9480000000000001,3.37
25,2.4,1.51,0.857,4.35
26,2.6,1.99,0.651,4.47
27,1.86,1.17,0.537,3.67
28,1.28,1.09,0.274,4.17
29,1.79,1.23,0.754,4.09
30,2.18,2.67,0.41100000000000003,3.85
31,1.88,1.12,0.263,3.86
32,1.71,1.17,0.0,3.86
33,1.65,0.971,0.0,4.06
34,1.92,1.84,0.0,3.23
35,2.19,0.834,0.0,4.35
36,1.88,1.86,0.0,4.16
37,2.26,0.754,0.0,4.26
38,1.82,1.75,0.0,3.51
39,2.32,1.18,0.0,2.08
40,2.41,1.49,3.58,1.96
41,2.08,0.937,4.35,2.5
42,2.09,1.42,2.09,1.99
43,0.0114,1.2,0.811,0.343
44,0.194,2.18,0.28600000000000003,0.617
45,0.137,1.2,0.743,0.331
46,0.08,1.68,0.217,0.468
47,0.0,2.33,0.423,0.388
48,0.20600000000000002,3.02,0.491,0.228
49,0.354,3.88,0.765,0.28600000000000003
50,0.149,1.31,0.891,0.331
51,0.137,1.33,0.731,0.354
52,0.171,0.994,0.343,0.48
