,0,1,2,3
0,1.38,1.8,2.32,0.788
1,1.4,1.84,1.69,1.02
2,1.9,1.11,2.63,1.16
3,2.57,1.19,1.59,1.18
4,2.2,1.75,1.37,1.37
5,2.06,1.49,2.14,1.48
6,1.45,1.91,1.89,0.637
7,1.37,1.61,1.31,1.14
8,1.93,1.91,1.67,1.25
9,1.16,1.38,2.1,0.44
10,2.61,1.6,1.9,0.961
11,2.55,1.05,1.38,1.25
12,2.41,1.88,1.14,1.2
13,1.84,1.82,1.82,0.996
14,1.41,1.04,1.75,0.904
15,2.32,1.95,1.37,0.765
16,1.9,1.81,1.68,0.44
17,1.04,1.71,1.78,1.11
18,1.34,1.1,1.95,1.17
19,1.55,2.1,1.58,0.741
20,1.82,1.97,1.69,0.765
21,1.38,1.42,2.09,0.6950000000000001
22,1.54,1.77,1.66,1.36
23,2.03,1.67,1.19,1.59
24,1.91,1.26,1.92,1.63
25,1.96,2.15,2.05,1.6
26,2.63,1.27,1.37,0.927
27,2.53,1.52,1.78,1.8
28,2.0,1.58,2.06,1.29
29,2.57,1.6,1.82,1.68
30,2.87,1.56,1.42,1.86
31,2.43,2.05,1.99,1.9
32,2.86,1.62,1.97,1.74
33,1.59,1.97,1.19,1.49
34,1.81,1.44,1.49,1.92
35,2.49,1.95,1.31,1.55
36,2.06,1.83,0.8220000000000001,1.14
37,2.36,1.84,1.45,1.77
38,1.93,1.36,1.67,1.55
39,2.18,1.92,0.904,0.846
40,1.81,1.2,0.626,0.614
41,1.3,1.92,0.8220000000000001,1.52
42,1.74,1.9,0.8220000000000001,1.74
43,1.98,2.33,1.18,1.2
44,1.66,2.07,0.776,0.799
45,1.08,1.64,1.08,1.25
46,2.03,0.8220000000000001,1.1,1.36
47,1.34,1.12,1.03,1.59
48,1.34,2.03,1.03,1.36
49,1.86,1.93,0.765,1.74
50,1.7,1.36,1.07,1.17
51,1.82,1.48,1.07,1.91
52,1.9,2.28,1.03,1.19
53,1.23,2.46,0.985,1.14
54,0.452,1.41,2.09,1.71
55,0.799,1.86,1.69,1.89
56,1.16,2.02,1.62,1.16
57,0.9500000000000001,1.63,1.02,1.26
58,1.27,2.04,1.53,1.6
59,1.47,1.44,2.11,1.29
60,1.59,1.71,2.0,1.74
61,1.12,1.66,1.73,1.78
62,1.07,1.7,1.84,1.89
63,0.927,2.03,1.91,1.11
64,1.14,1.99,2.29,0.66
65,0.927,2.26,1.99,0.741
66,0.73,2.44,2.48,1.92
67,1.14,1.82,1.93,2.11
68,1.11,1.89,1.22,1.81
69,1.31,1.55,1.16,2.21
70,1.71,1.32,3.06,2.62
71,2.05,1.61,2.56,2.02
72,2.51,1.92,2.76,2.35
73,2.87,1.39,3.35,3.63
74,1.89,1.81,1.93,3.39
75,2.43,1.73,2.22,2.77
76,2.27,1.42,1.96,2.25
77,2.13,1.56,3.0,2.76
78,1.68,1.34,1.92,2.26
79,1.89,2.43,1.95,2.42
80,1.89,1.7,1.41,2.36
81,2.04,1.53,2.12,3.17
82,2.43,1.03,1.61,3.19
83,2.4,1.36,1.46,3.92
84,1.96,1.08,1.93,2.03
85,1.34,1.59,2.35,1.47
86,1.84,1.25,2.12,2.11
87,1.67,2.11,1.62,1.98
88,2.24,1.8,1.76,1.81
89,2.06,1.18,1.39,2.7
90,2.02,1.62,1.93,1.64
91,1.4,1.68,1.98,2.69
92,1.83,2.22,0.996,1.85
93,1.51,2.93,0.973,1.66
94,1.87,1.92,1.59,1.92
95,1.29,2.59,2.02,1.27
96,2.27,2.41,1.91,1.12
97,1.97,1.67,1.81,1.63
98,2.07,1.59,1.89,2.28
99,1.98,1.52,1.26,2.14
100,1.41,2.11,2.11,1.38
101,1.18,1.99,1.83,1.68
102,1.3,1.12,1.91,2.33
103,1.95,1.59,1.59,1.98
104,1.73,2.21,1.7,1.81
105,1.37,1.64,1.99,1.88
106,2.0,1.51,1.42,1.74
107,1.73,2.14,1.66,2.33
108,1.49,1.32,1.98,1.62
109,1.52,1.85,1.51,3.08
110,1.82,1.38,2.27,2.39
111,1.53,2.22,2.0,3.68
112,2.15,2.02,2.07,2.18
113,2.03,1.88,2.02,4.7
114,1.55,1.81,2.15,1.92
115,3.31,2.51,1.55,1.88
116,3.6,2.63,1.87,0.915
117,1.51,3.08,2.18,1.54
118,2.19,2.12,1.47,1.83
119,1.71,2.39,1.95,1.85
120,2.07,2.17,1.83,1.27
121,2.04,2.06,1.77,1.73
122,2.65,2.06,1.18,1.44
123,2.5,2.03,1.93,1.26
124,1.45,1.56,1.15,1.68
125,1.52,1.68,1.04,1.36
126,2.46,2.07,1.19,1.59
127,2.59,2.46,2.12,1.74
128,2.42,2.09,1.87,0.996
129,1.83,1.53,1.27,1.68
130,1.48,2.07,1.8,1.74
131,1.64,2.02,2.24,1.47
132,1.69,1.01,1.51,1.1
133,2.02,1.75,1.19,1.64
134,1.95,1.83,2.2,2.07
135,1.47,1.4,1.82,1.92
136,1.9,1.69,2.49,1.66
137,1.87,2.03,2.69,1.18
138,1.38,2.07,2.12,1.55
139,1.8,1.86,1.85,1.62
140,2.04,0.904,2.07,2.02
141,2.06,0.927,2.22,1.73
142,2.18,0.892,2.02,1.09
143,2.12,1.32,1.89,1.48
144,1.16,1.53,2.21,1.24
145,1.02,1.4,1.14,1.8
146,1.01,0.718,1.4,1.82
147,2.0,1.69,1.17,1.93
148,2.25,0.996,1.84,2.06
149,2.28,1.11,1.99,1.36
150,2.02,1.73,1.69,0.973
151,2.12,1.75,1.59,1.85
152,1.73,1.22,1.9,0.869
153,1.67,2.15,2.06,1.05
154,2.0,1.27,2.25,2.33
155,2.25,2.0,2.11,1.54
156,2.09,1.97,1.48,1.75
157,1.63,1.59,1.46,2.31
158,2.19,1.29,1.54,2.4
159,2.02,2.39,1.45,1.67
160,2.06,2.03,1.74,1.31
161,1.49,1.99,0.707,2.44
162,1.63,1.51,1.47,1.46
163,1.51,1.75,2.05,1.2
164,2.36,1.77,1.9,1.16
165,2.32,1.66,1.42,1.18
166,1.96,2.14,2.02,2.04
167,1.84,1.77,1.67,1.76
168,1.68,1.64,1.44,2.07
169,1.8,2.14,1.89,2.04
170,1.47,2.05,1.59,1.39
171,1.25,1.93,1.66,1.46
172,1.32,2.46,1.74,1.36
173,1.38,1.71,1.99,1.77
174,1.64,1.2,2.05,1.56
175,2.18,1.96,1.62,1.66
176,1.16,2.22,1.58,2.03
177,1.77,1.85,1.76,2.13
178,1.37,2.03,1.77,2.93
179,1.73,2.43,1.56,1.24
180,1.78,1.22,1.95,1.56
181,1.22,1.87,2.2,1.38
182,1.73,1.24,1.9,1.45
183,1.63,2.22,2.05,1.56
184,2.12,2.09,1.24,0.973
185,1.86,1.96,1.76,1.12
186,1.14,1.49,1.95,1.14
187,1.01,1.87,1.75,0.649
188,1.55,2.39,1.81,1.08
189,1.08,1.95,2.05,0.498
190,2.12,1.88,2.42,1.63
191,1.83,1.78,1.7,2.31
192,1.88,1.4,2.44,0.765
193,1.75,1.74,1.96,1.88
194,1.81,2.39,2.09,2.09
195,0.614,2.06,1.14,2.0
196,1.15,1.71,1.54,1.97
197,1.55,2.03,2.05,2.7
198,1.51,1.83,2.34,1.91
199,1.78,1.85,1.83,1.76
200,0.869,2.11,1.93,1.87
201,1.3,1.12,1.41,1.23
202,2.0,1.16,0.765,1.88
203,1.16,1.16,1.61,2.24
204,1.46,1.12,2.42,1.19
205,1.74,1.41,1.83,1.71
206,1.41,2.5,1.54,1.78
207,1.74,2.48,1.26,2.05
208,1.25,2.21,1.67,2.13
209,1.27,1.6,1.61,1.89
210,1.05,2.06,2.05,2.1
211,1.56,1.89,1.8,2.19
212,2.1,1.58,2.4,1.86
213,1.82,1.69,2.06,1.85
214,1.71,2.07,2.59,2.07
215,1.83,2.12,1.84,2.4
216,1.83,1.98,2.44,2.15
217,1.75,1.84,1.71,1.81
218,1.54,1.44,1.89,1.85
219,1.7,1.64,1.45,2.17
220,1.41,1.7,1.87,1.53
221,1.44,2.28,1.78,1.4
222,1.87,2.26,2.09,2.03
223,1.17,2.1,2.22,1.48
224,2.02,2.31,1.42,1.7
225,1.34,1.92,1.69,1.99
226,1.55,2.7,1.2,2.12
227,1.69,1.95,1.39,2.32
228,1.56,1.17,1.76,1.45
229,1.7,1.24,1.15,1.92
230,2.26,1.71,1.96,2.36
231,0.9380000000000001,1.81,1.36,2.07
232,1.61,1.3,1.83,0.776
233,1.53,2.35,1.93,1.18
234,1.85,2.28,1.58,1.61
235,1.89,3.05,1.97,1.02
236,1.74,2.25,1.89,1.31
237,1.42,2.79,2.21,1.42
238,2.05,1.63,2.71,1.18
239,1.95,2.73,2.1,1.09
240,2.0,3.05,1.8,1.33
241,2.22,2.84,2.05,1.62
242,1.26,2.2,2.59,1.26
243,1.78,2.56,2.76,1.87
244,1.52,2.77,2.27,1.6
245,1.73,2.54,2.9,2.21
246,1.6,1.36,2.15,1.18
247,1.45,2.44,2.18,1.9
248,1.69,2.65,2.13,1.37
249,1.07,1.88,1.78,1.24
