,0,1,2,3
0,1.75,0.869,1.89,1.64
1,0.973,0.869,2.02,2.1
2,0.776,0.452,2.2,1.75
3,0.846,1.63,2.02,1.51
4,1.09,1.23,1.38,1.56
5,1.09,1.48,2.18,1.73
6,1.27,1.34,2.12,1.17
7,1.26,1.76,2.42,1.77
8,1.23,1.84,1.93,1.38
9,1.49,2.35,1.98,1.33
10,1.8,1.7,1.88,1.16
11,1.98,2.0,1.3,1.55
12,1.64,1.24,1.55,1.68
13,1.56,1.66,1.81,1.61
14,2.33,1.84,1.92,1.63
15,2.12,1.84,0.962,1.62
16,1.97,1.93,1.92,1.2
17,1.75,1.3,1.7,1.55
18,1.75,0.9500000000000001,1.02,1.73
19,1.76,1.48,1.46,2.07
20,1.24,1.07,2.0,1.89
21,1.98,2.35,2.02,1.56
22,2.0,1.73,2.46,1.86
23,1.9,1.05,0.927,1.52
24,1.96,1.37,2.06,1.41
25,1.78,1.25,1.36,2.51
26,1.61,1.11,2.25,3.52
27,1.8,1.74,1.86,2.4
28,1.92,1.47,1.49,1.4
29,1.8,1.49,1.77,2.5
30,1.85,1.01,1.3,2.35
31,1.36,1.32,1.62,2.42
32,1.49,1.53,1.64,1.18
33,0.6950000000000001,1.51,2.5,2.19
34,1.29,1.4,1.51,2.64
35,1.37,1.91,1.6,2.99
36,1.34,1.68,2.76,2.84
37,1.54,0.533,1.54,2.24
38,1.25,0.834,1.33,1.88
39,1.91,1.46,1.77,2.04
40,1.77,1.97,2.0,1.18
41,1.98,1.73,1.33,1.85
42,1.67,1.76,1.59,1.12
43,2.47,2.57,1.08,1.05
44,1.58,2.37,1.54,1.19
45,0.718,2.18,1.22,1.6
46,1.33,1.87,1.45,1.31
47,1.47,1.73,1.31,0.776
48,2.25,2.35,1.24,1.25
49,1.58,2.77,1.6,1.32
50,1.96,1.91,1.2,1.3
51,2.0,1.67,1.6,0.811
52,1.75,1.8,1.55,0.962
53,2.11,2.51,1.54,1.05
54,2.17,2.05,1.36,1.6
55,2.51,2.2,1.68,1.88
56,2.18,1.99,1.89,1.09
57,1.78,1.63,1.68,0.962
58,1.55,1.73,1.61,1.76
59,1.68,1.9,1.12,1.25
60,2.2,1.84,1.64,1.99
61,1.44,2.09,1.87,1.74
62,1.91,2.06,1.9,1.39
63,1.75,2.13,1.81,1.33
64,1.48,1.71,2.1,2.15
65,1.61,1.97,1.78,1.75
66,2.09,1.38,2.02,2.13
67,1.68,1.92,1.73,1.58
68,1.69,1.33,1.85,1.12
69,1.82,1.11,1.56,1.14
70,2.2,1.95,1.83,2.39
71,1.74,2.29,1.73,2.55
72,1.74,1.26,1.61,2.42
73,1.19,1.68,1.82,2.03
74,1.75,1.9,1.53,2.03
75,1.88,1.93,1.05,1.84
76,1.42,2.31,1.54,1.25
77,1.47,1.74,2.27,1.59
78,2.28,0.834,1.47,1.44
79,2.32,2.0,1.62,1.6
80,1.45,1.67,1.92,1.56
81,1.41,1.25,1.82,2.43
82,1.96,1.29,1.68,2.14
83,1.63,1.59,1.49,1.6
84,1.59,1.74,1.76,1.33
85,1.6,1.95,2.05,0.996
86,1.8,1.8,1.96,1.31
87,1.62,2.06,1.42,1.29
88,1.64,1.87,1.37,1.24
89,1.78,1.84,1.71,2.03
90,1.51,2.2,1.41,1.3
91,1.34,2.11,1.27,0.904
92,1.63,2.14,1.64,0.753
93,1.38,2.12,1.77,1.19
94,1.82,1.44,1.2,1.44
95,1.62,1.96,1.34,1.08
96,1.71,2.0,1.93,1.41
97,1.23,1.48,2.17,1.4
98,1.46,1.98,2.18,1.04
99,1.68,1.75,0.776,1.4
100,2.04,1.78,2.07,2.42
101,1.87,1.69,2.61,1.96
102,1.27,1.22,1.69,1.77
103,1.24,1.67,1.2,1.87
104,0.753,1.31,1.08,2.02
105,1.2,1.73,2.22,1.11
106,1.32,1.71,1.09,1.18
107,1.64,2.0,1.11,1.03
108,1.29,2.13,1.83,1.36
109,1.33,1.54,1.26,1.66
110,2.02,1.37,1.46,1.81
111,2.13,1.07,1.29,1.47
112,2.14,2.1,2.17,1.46
113,1.37,1.84,1.8,1.71
114,1.45,1.37,1.97,1.37
115,1.14,1.76,1.7,1.18
116,1.48,2.31,1.83,1.71
117,1.51,1.73,1.88,2.7
118,1.34,1.51,1.96,1.62
119,1.26,2.25,1.1,1.78
120,1.85,1.78,1.37,1.19
121,1.95,1.93,1.8,2.54
122,1.25,1.88,1.64,1.88
123,1.73,1.78,2.05,2.35
124,1.58,1.89,1.85,2.25
125,1.6,1.68,1.88,2.5
126,1.64,1.17,2.14,2.27
127,1.45,1.92,2.02,2.14
128,1.56,2.19,1.75,2.47
129,0.811,2.24,1.84,1.44
130,1.66,1.83,2.25,1.36
131,2.04,2.41,1.75,1.78
132,1.76,1.6,1.84,2.2
133,1.49,1.7,0.985,2.34
134,1.81,1.86,1.45,2.35
135,1.46,2.04,1.64,2.33
136,1.52,2.12,2.33,1.66
137,1.63,2.28,2.04,1.38
138,3.0,1.59,1.53,1.7
139,3.41,2.33,1.41,1.73
140,3.31,1.97,1.65,1.16
141,2.12,2.04,1.62,1.51
142,2.34,2.26,1.81,2.05
143,2.41,1.93,1.33,2.5
144,3.3,1.73,1.46,2.57
145,2.37,1.99,1.55,1.68
146,2.03,2.09,2.21,2.24
147,1.83,2.02,1.42,1.87
148,2.51,1.73,1.48,1.34
149,2.55,1.64,1.95,1.04
150,2.07,1.97,2.13,1.69
151,2.24,2.12,2.22,0.9500000000000001
152,1.7,2.13,0.811,1.63
153,1.82,2.13,1.55,1.73
154,1.47,1.87,1.01,1.59
155,1.9,1.63,1.64,1.41
156,2.25,1.41,1.93,1.56
157,1.01,1.29,1.49,1.12
158,1.24,2.53,1.25,0.973
159,1.53,1.89,2.03,1.24
160,1.99,1.48,2.85,1.19
161,1.71,1.09,2.44,1.32
162,1.89,1.99,3.12,1.74
163,1.75,2.09,1.9,2.24
164,1.91,1.91,2.19,1.59
165,1.16,1.05,1.99,1.71
166,1.84,1.9,2.06,1.54
167,1.92,1.71,2.18,1.47
168,1.97,2.04,2.04,1.7
169,1.52,2.62,1.68,1.83
170,2.1,1.07,2.88,0.9500000000000001
171,1.59,1.9,2.3,1.49
172,1.23,2.31,2.78,1.64
173,1.39,1.74,2.86,1.09
174,1.83,1.69,2.83,1.88
175,1.83,1.24,1.24,1.6
176,1.51,1.45,1.53,1.41
177,1.51,2.07,2.93,2.65
178,1.25,1.42,1.92,1.49
179,2.2,1.34,1.7,1.08
180,2.5,1.95,1.85,1.8
181,1.73,1.69,2.42,1.38
182,1.81,1.39,2.61,1.96
183,1.7,1.37,1.88,1.8
184,1.49,1.11,1.81,1.63
185,1.74,1.18,1.89,1.86
186,1.63,1.01,1.56,1.54
187,1.31,1.82,1.89,1.7
188,1.48,1.45,2.25,1.83
189,1.51,1.52,1.68,1.67
190,2.47,1.32,1.71,1.87
191,2.79,1.63,1.52,1.97
192,2.83,1.73,2.21,1.76
193,2.81,2.34,2.09,1.99
194,2.28,0.66,2.95,2.17
195,2.05,1.75,1.88,1.98
196,3.42,1.91,2.0,1.89
197,2.25,1.76,2.75,1.36
198,2.87,1.93,2.4,1.17
199,2.34,2.51,1.18,2.11
200,1.95,2.42,2.02,1.68
201,1.42,2.13,2.05,2.1
202,1.85,1.96,1.85,1.77
203,1.95,2.13,2.05,1.54
204,1.39,1.77,1.92,1.54
205,1.24,1.47,1.8,2.42
206,1.61,1.95,2.26,1.55
207,1.92,2.05,1.54,1.1
208,1.33,1.68,2.9,1.67
209,1.34,2.22,2.57,2.13
210,1.91,1.71,2.48,1.27
211,1.75,1.33,1.59,1.45
212,2.09,1.68,1.83,2.29
213,2.48,1.54,1.97,1.97
214,2.03,1.44,1.91,2.71
215,1.78,1.58,1.96,2.5
216,2.54,1.69,1.73,1.3
217,1.6,2.28,2.05,2.53
218,2.11,1.63,2.36,2.28
219,1.49,1.34,2.48,2.07
220,0.892,1.37,2.71,2.19
221,1.47,1.86,3.24,2.1
222,2.04,1.15,2.47,1.99
223,1.68,2.46,2.12,2.09
224,1.9,2.57,2.31,1.46
225,1.98,1.74,2.15,1.78
226,1.78,1.67,2.39,2.83
227,1.58,1.34,2.2,1.99
228,1.56,1.02,2.35,1.03
229,1.6,1.26,1.64,1.67
230,1.77,2.02,1.96,1.26
231,1.32,1.78,2.61,1.53
232,1.39,1.78,2.92,1.75
233,1.59,1.48,2.35,1.64
234,1.93,1.85,1.93,1.74
235,1.7,2.07,1.11,1.69
236,1.76,2.0,1.91,1.81
237,1.88,1.75,1.76,1.67
238,1.74,2.26,1.1,2.35
239,1.4,1.95,1.93,2.11
240,1.51,1.82,1.75,2.09
241,1.69,1.41,1.27,1.74
242,1.55,2.27,1.26,1.39
243,1.39,2.06,1.7,1.27
244,1.69,2.69,1.99,1.53
245,1.45,2.28,1.81,1.24
246,1.78,2.3,1.74,1.76
247,2.0,2.4,1.18,1.41
248,2.33,2.03,1.63,0.51
249,1.68,1.91,1.39,1.64
