,0,1,2,3
175,2.67,1.84,1.76,3.21
176,1.82,1.76,1.29,2.84
177,1.3,1.15,1.6,2.46
178,0.937,3.85,2.97,1.3
179,1.45,3.38,4.48,1.57
180,1.99,3.95,5.53,0.503
181,1.49,2.55,5.87,0.423
182,1.59,1.18,5.41,0.594
183,1.34,1.23,6.72,0.651
184,1.55,2.24,5.63,1.19
185,1.61,2.47,6.96,1.55
186,1.38,3.36,7.03,2.04
187,1.12,2.01,7.24,1.91
188,1.21,0.902,7.55,2.65
189,0.96,1.31,5.92,0.526
190,0.994,1.39,7.99,0.937
191,1.43,1.58,7.53,1.54
192,1.47,1.53,5.12,1.39
193,2.3,1.06,3.79,1.59
194,3.79,1.18,1.83,1.61
195,2.99,0.663,2.36,2.87
196,3.11,0.446,2.6,2.32
197,3.84,1.26,3.36,2.24
198,4.48,0.685,2.04,2.38
199,4.72,0.594,1.84,2.47
200,3.58,0.845,2.36,2.55
201,3.2,1.17,1.1,2.79
202,4.7,0.925,1.58,2.64
203,6.49,1.3,2.81,2.16
204,5.08,0.834,3.04,2.22
205,4.06,1.23,2.7,2.71
206,5.0,1.59,1.46,2.6
207,4.64,0.788,1.85,2.35
208,5.91,0.491,1.1,4.73
209,5.55,1.41,1.93,7.72
210,2.76,1.9,0.9480000000000001,6.45
211,2.98,1.69,0.937,7.65
212,4.8,1.98,0.982,8.16
213,4.92,1.36,0.982,8.25
214,6.05,1.49,0.914,9.05
215,6.99,2.06,1.47,9.23
216,7.62,2.79,1.1,8.05
217,5.67,2.0,1.45,6.48
218,7.25,1.63,1.76,7.19
219,6.44,1.78,1.41,7.61
220,4.39,1.9,1.25,6.87
221,4.98,2.24,1.26,8.4
222,3.78,1.83,1.07,5.91
223,1.63,0.537,2.67,4.47
224,2.1,1.02,4.41,4.36
225,1.33,0.708,3.75,3.93
226,0.891,0.9480000000000001,3.27,4.6
227,1.34,0.754,5.63,4.16
228,1.29,0.765,4.84,5.52
229,2.36,0.4,5.97,3.84
230,2.41,0.423,6.85,2.66
231,2.36,0.434,5.7,4.36
232,1.41,0.354,5.06,3.94
233,2.41,0.388,5.4,4.92
234,1.67,0.434,6.37,5.46
235,2.74,0.617,6.72,6.64
236,1.83,0.503,7.94,6.61
237,2.2,0.24,7.91,4.31
238,1.76,0.32,4.25,2.17
239,3.31,0.5710000000000001,4.34,0.6970000000000001
240,3.38,0.628,5.19,1.1
241,2.5,0.583,5.59,1.68
242,2.23,0.617,7.27,1.65
243,1.2,0.857,5.32,2.04
244,2.11,0.857,5.68,1.47
245,2.64,0.788,7.22,1.85
246,2.75,0.8,5.21,2.2
247,2.06,0.628,3.94,2.41
248,1.57,1.21,3.11,2.11
249,1.93,0.994,3.74,2.02
