,0,1,2,3
175,1.26,2.13,1.82,1.93
176,1.6,2.44,2.13,1.92
177,0.996,1.74,2.34,2.47
178,1.97,1.76,1.64,1.91
179,2.34,1.92,1.6,1.76
180,2.04,1.96,1.83,1.8
181,1.44,2.33,1.69,1.78
182,2.13,1.54,1.74,1.7
183,2.02,1.61,0.904,2.28
184,1.69,1.78,1.76,1.02
185,2.09,1.93,1.41,1.73
186,1.38,1.83,1.19,1.83
187,2.07,1.73,1.83,1.88
188,1.99,1.68,1.18,1.78
189,1.67,1.05,1.96,1.95
190,2.29,1.88,1.4,2.17
191,2.27,2.48,1.39,2.03
192,2.17,1.71,1.69,1.9
193,1.7,1.38,1.83,1.97
194,2.05,1.68,1.71,1.98
195,1.69,1.47,1.29,1.78
196,2.24,2.12,2.02,2.02
197,1.64,2.14,2.68,2.19
198,1.95,1.01,2.1,3.35
199,0.846,2.13,2.12,2.5
200,1.9,1.93,1.99,1.77
201,1.77,1.54,2.33,2.35
202,1.37,1.81,2.13,1.78
203,2.28,2.29,1.55,1.97
204,2.34,2.33,2.5,1.86
205,1.73,1.37,2.27,1.93
206,1.82,1.45,1.89,2.55
207,2.14,1.4,1.96,2.0
208,2.12,2.13,2.07,2.03
209,1.75,2.27,2.21,2.09
210,2.11,1.86,2.57,1.78
211,2.07,1.88,2.09,2.09
212,2.12,2.21,1.98,1.58
213,1.81,1.83,2.07,2.5
214,2.4,1.3,2.19,2.48
215,2.14,1.81,1.96,2.75
216,1.76,2.21,2.24,2.14
217,1.46,1.76,1.74,2.4
218,1.76,1.81,2.18,2.21
219,1.93,1.47,2.1,2.58
220,2.68,1.2,2.33,3.05
221,2.18,1.97,2.04,1.77
222,2.29,1.61,1.89,1.95
223,2.12,2.0,2.13,2.54
224,2.18,2.13,1.99,2.18
225,1.82,2.04,2.27,2.9
226,2.35,1.67,2.22,3.07
227,2.86,1.91,1.97,2.28
228,3.31,1.89,2.47,2.49
229,2.88,1.82,1.97,2.72
230,2.7,1.66,1.92,2.77
231,2.29,2.17,1.93,3.34
232,2.36,2.02,2.13,3.07
233,2.62,1.27,2.03,2.43
234,2.7,2.03,2.12,3.42
235,2.81,2.32,1.92,5.48
236,2.27,2.44,2.49,2.41
237,1.38,1.84,2.93,3.3
238,1.7,1.52,2.61,3.57
239,1.99,1.08,2.21,2.75
240,2.31,1.75,2.91,2.42
241,1.41,2.02,3.0,3.75
242,1.38,1.36,2.73,2.95
243,2.0,1.77,1.56,2.66
244,1.99,1.53,2.4,1.82
245,1.34,2.26,2.41,2.68
246,2.21,1.69,2.62,2.26
247,2.58,1.66,1.61,2.35
248,2.14,2.17,2.64,2.07
249,1.71,1.75,2.47,2.28
