,295,318,340,362,363,384,385,407,408,429,430,452,474,1264,1286,1287,1308,1309,1331,1353,1354,1375,1376,1398,1421,1443,1332,1399,341,386,475,1377,296,453,1310,1265,431,364,1355,319,1444,1422,409,1288,1333,1400,342,476,387,454,1378,1311,297,432,1445,1356,365,1266,320,1423,410,1289,1401,1334,477,343,388,455,1379,1312,433,1446,1357,366,1424,321,411,1402,1290,1335,478,500,344,389,456,1380
0,-51.537060079722046,-49.64029913923868,-46.706475205500766,-47.973698236348454,-48.118126241799516,-51.193725100527026,-42.19641111019879,-44.17225755444601,-50.4941287562973,-49.560468220110124,-48.006714040049445,-48.64313173658022,-51.314532847068705,-50.321225968080185,-48.983162666049736,-50.79559925350538,-50.675214675423575,-45.95515319686892,-41.9582244773037,-46.38094064507574,-48.34609978066954,-51.316047643528286,-45.60024620609032,-47.96768468715621,-50.8008293248837,-51.481653655183834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-51.542782038918666,-49.622014644055135,-46.77883601930115,-48.0230075993159,-48.06084622534402,-51.23101548095801,-42.19019550460051,-44.24017269145189,-50.458405096754944,-49.59574998412856,-47.98636911968502,-48.650132015605855,-51.32078618163442,-50.34703434163631,-49.03315897356318,-50.77434503838953,-50.69222911106749,-45.93610172428457,-41.97358576839049,-46.447390287611896,-48.28483045965025,-51.344415501308234,-45.55928307927222,-47.97794073781547,-50.778721473293004,-51.47949697582774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-51.55174224217289,-49.60531780701317,-46.85916964185892,-48.07578014836792,-48.00507673526978,-51.26895482043207,-42.10496595869019,-44.29347850922866,-50.414045342266135,-49.63187981248815,-47.9710698241301,-48.64082411365048,-51.3276130298523,-50.375110383565854,-49.06890575283605,-50.75363604914648,-50.70296503617756,-45.91924791285983,-41.99008703390305,-46.51665359608308,-48.225759724470706,-51.370190307996864,-45.52959088623367,-47.990629817689,-50.76027342331906,-51.477087787458444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-51.56392658528206,-49.59024905226834,-46.93523697305323,-48.1319237930828,-47.95083246054821,-51.30753282164753,-42.03323695261058,-44.32898774364169,-50.36794399036616,-49.66733874537243,-47.960909930120394,-48.63460804638556,-51.3350004322994,-50.405497762219234,-49.08095370238817,-50.72802175154039,-50.715340651610354,-45.904619459905916,-42.02508804720722,-46.58867492582151,-48.168950752923585,-51.39309561159373,-45.48412109174841,-48.00568471574209,-50.745523914480266,-51.461707287468315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-51.57931947894589,-49.57684820717026,-46.9956260405817,-48.19135104276327,-47.89813366235301,-51.34673885437603,-41.975226073085175,-44.36979761636649,-50.32288521624962,-49.69499993931073,-47.955986480080924,-48.63176740955404,-51.34293537407772,-50.43823786034988,-49.09275813656809,-50.70222153961542,-50.729321109430046,-45.89224605872467,-42.07861375012413,-46.66340017909762,-48.114468781509416,-51.41662559485114,-45.44837439737599,-48.02303721378182,-50.730369911573646,-51.44904897666861,-51.60146798361815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-51.5979091334292,-49.565157319101864,-47.063732584102816,-48.253978322477195,-47.84699590250345,-51.38656362303645,-41.931157722285164,-44.41582051186035,-50.27889332643855,-49.723530814702585,-47.90762587704144,-48.620457110474426,-51.351405215144894,-50.473368981333934,-49.10892671323743,-50.676989392496765,-50.74487086257035,-45.88215738228148,-42.15069528741054,-46.74077778968869,-48.06075769036887,-51.44077277359229,-45.408430347172846,-48.04262343602697,-50.71583596565502,-51.43908745520616,-51.57365815561219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-51.619682742750435,-49.55521773356692,-47.11246888121276,-48.31972060367606,-47.79743955661875,-51.42699705328714,-41.90126542736246,-44.46697251016049,-50.23598718285774,-49.75292478854976,-47.84548307705681,-48.61128313485185,-51.36039840403751,-50.51093643763424,-49.12942126152701,-50.65232429106534,-50.7567458864666,-45.87438520098629,-42.24136787236468,-46.820757820269556,-47.991444408171795,-51.465530353173406,-45.36533729879238,-48.064378667373184,-50.70504879786367,-51.43179892866996,-51.54644924342004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-51.64049448866655,-49.54707260406619,-47.13579197523841,-48.36434627926127,-47.74948309263042,-51.46802998449181,-41.84983127766326,-44.523173022635156,-50.19418965287713,-49.78317612981716,-47.78852675353637,-48.605429305692795,-51.36990284505417,-50.55026349015324,-49.154203334851076,-50.628228510318834,-50.76776121496012,-45.868961358703125,-42.32978116277074,-46.89330215662109,-47.924595389046345,-51.49089094353572,-45.333791487586915,-48.08824109678095,-50.698045035781156,-51.42716142910815,-51.51985028673354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,-49.54076560858888,-47.16653598389968,-48.40536398767779,-47.70314615862388,-51.5096532082444,-41.80407767930822,-44.58241713682842,-50.15352852945477,-49.81427908184817,-47.736860067996005,-48.602845427148,-51.37990726266746,-50.57696322834274,-49.17910382368811,-50.60470160480111,-50.78034710980369,-45.856089088455676,-42.39477440121864,-46.95949267564896,-47.860283135341234,-51.51684790680771,-45.3138324575415,-48.11414790807501,-50.694862396431965,-51.42515243164972,-51.49387104013579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
