,88,111,133,155,156,178,200,201,222,223,245,267,268,289,290,312,1192,1214,1215,1237,1259,1260,1281,1282,1304,1326,1327,1349,1371,1394,1416,1305,1372,246,1238,134,1193,179,89,1350,1283,224,313,1417,291,1216,1328,157,112,1261,1395,269,202,1306,1373,247,1239,135,180,1194,1351,1284,90,314,1440,225,1418,292,1329,1217,158,1396,1262,270,113,203,1307,1374,248,1240,136,181,1441,315,1352,1285,337,1195,226,91,1419,293,1330,1218,1397,159,271,1263,114,204,1308,1375,249,1241,338,1442,316,182
0,-51.344631534970574,-50.62354779695169,-48.467481370234196,-49.32203806305961,-49.340407447177,-44.76747921891952,-44.35878315891913,-50.08162057496175,-48.83494965977001,-45.35053888933927,-43.10352928248439,-47.51990947734126,-50.234908557889284,-51.42004181649035,-49.28676797069216,-50.48399095787602,-50.778489358239085,-50.828530149278606,-49.32020832685393,-45.41051458331452,-45.55434873250676,-49.54370122215545,-49.377656659277996,-44.69098407915959,-42.63484175701293,-47.780357201309016,-49.11905319026937,-47.4602339548603,-48.99850711021163,-50.58465359160999,-51.10675556408572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-51.335993629389414,-50.61041734635083,-48.46727935296113,-49.34088420880316,-49.310001472009624,-44.72613308824775,-44.441937872201684,-50.05458418767197,-48.87493252440776,-45.33799066531641,-43.13114496862157,-47.561767034727836,-50.21540122840718,-51.448991814454075,-49.275128040140565,-50.47502512470121,-50.78511098692175,-50.845155341798446,-49.2977096730186,-45.418236428880626,-45.592678844880645,-49.50690212072158,-49.41583351433327,-44.627403665854814,-42.61682722588272,-47.80703264989411,-49.05755778398159,-47.43494125271674,-49.00099140632533,-50.57235368982972,-51.1114089330534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-51.33132421010344,-50.60377074620508,-48.47390397322883,-49.36356489121712,-49.28056111716511,-44.693371175809,-44.50395436318359,-50.02852766983371,-48.91644833471205,-45.32223842899201,-43.13372099963406,-47.60482126411334,-50.198052758797125,-51.47834172624785,-49.26799027263512,-50.46795358259787,-50.79490637090727,-50.86418916798073,-49.275789924043345,-45.41493182394621,-45.63907229975896,-49.47123870058277,-49.45526495602695,-44.52841699486085,-42.60329540003976,-47.835476952579015,-48.99885030290047,-47.407680471030545,-49.00681627918036,-50.56412727955867,-51.11986464260363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-51.33058986192678,-50.59844444134799,-48.48735970154209,-49.390008358042195,-49.25210804697677,-44.66940512955328,-44.565342455716525,-50.00347381229511,-48.95946322303934,-45.313205663015054,-43.142206873582786,-47.649060004692515,-50.18291086359162,-51.5055034346109,-49.26538579585397,-50.462743255255596,-50.80786615695716,-50.88559671266124,-49.251880462892316,-45.40430799314852,-45.69324423168449,-49.43673030487098,-49.49592674229646,-44.437198713487554,-42.60640911723638,-47.865660729767356,-48.94298742521918,-47.38914988850422,-49.015909360055886,-50.56001806634026,-51.13210413856393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-51.333763967932484,-50.597682632950445,-48.507654508901936,-49.42014881083185,-49.217999556015116,-44.65445695247401,-44.63792278115384,-49.97943877554266,-49.00342049129976,-45.31110496782094,-43.16468240037708,-47.69092551929022,-50.17001532023447,-51.53095265672246,-49.24303815937253,-50.45936081711159,-50.823980465310115,-50.909342473024935,-49.224978744848464,-45.40103601683945,-45.754922514814155,-49.40340218694652,-49.537791616966814,-44.353986112875035,-42.62577110109446,-47.89755542925289,-48.89003597682384,-47.37937268748594,-49.028200095016174,-50.56007126630169,-51.14810953390766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-51.340320416728254,-50.567330992964685,-48.534800182048706,-49.45392072868251,-49.1826720687121,-44.648757706664284,-44.70824541058194,-49.93232636717394,-49.033116872059736,-45.307541687155194,-43.20094040959444,-47.70768654053207,-50.15941160850211,-51.55679265964612,-49.212441937396264,-50.45777427791183,-50.843238656338414,-50.93539143085838,-49.19876629301778,-45.40526185957643,-45.80357571923691,-49.37127592096787,-49.580835779196306,-44.27903220656394,-42.66100958715592,-47.93113308395839,-48.840061801046595,-47.3497427145401,-49.04361965891582,-50.564335303613184,-51.16786368253183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-51.348902082480244,-50.51548285184174,-48.560225485801716,-49.49126117024386,-49.14666666213365,-44.645539510601,-44.738539202863656,-49.88474908029235,-49.06435110850226,-45.29524257609225,-43.21854438259325,-47.72585379385546,-50.137157515121075,-51.58302357198976,-49.1761432197337,-50.45795041647899,-50.865634748330436,-50.96371103214359,-49.17325667301118,-45.41713414384113,-45.842162036182394,-49.340376376816806,-49.62073296293775,-44.21259655075638,-42.711776590227245,-47.9663664926144,-48.793129477506,-47.318649216485895,-49.06210092588552,-50.57285961344651,-51.1913518327182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-51.355537549172425,-50.46607922466855,-48.57275225875577,-49.53210795082189,-49.10739640651119,-44.62297876638406,-44.76584755955476,-49.838118090844134,-49.097089828217754,-45.290105204557854,-43.23257099357115,-47.74541050049416,-50.10580746897475,,-49.144468656809075,-50.45985711087445,-50.89115823180833,-50.994269048564824,-49.14846362400871,-45.42352401499577,-45.86322919200249,-49.310730780170715,-49.65388757472918,-44.13922373606493,-42.777743569391255,-48.00322918070981,-48.74930974154879,-47.296435616674366,-49.083576864771985,-50.585697053416155,-51.20136087008337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-51.34856559921718,-50.419157528517914,-48.59215571478333,-49.56835415414213,-49.069185487203015,-44.59843324857051,-44.8037842897795,-49.7924519167254,-49.13067514881582,-45.264399703784186,-43.25672741893317,-47.766344188455854,-50.06516930883444,,-49.11744756726858,-50.463462547864204,-50.91980302418108,-51.027032898941826,-49.124402857449034,-45.41706207508536,-45.855588289557446,-49.28236087099215,-49.688211009299565,-44.06893632655657,-42.858600269464155,-48.041695241269345,-48.70867547748006,-47.282569407165255,-49.10798566129511,-50.598563762976696,-51.20950251409962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
