,157,179,201,202,223,224,246,247,268,269,291,313,1125,1147,1148,1170,1192,1193,1214,1215,1237,1259,1260,1282,1238,314,336,1171,1126,292,180,225,1216,1305,1283,270,1149,1194,1261,203,248,337,1239,315,158,1172,293,1127,226,1217,181,1306,1284,271,1150,1195,1262,204,338,249,316,1240,1173,294,1307,1218,227,1128,182,1285,272,1151,1263,1196,339,205,250,317,1241,1174,295,1308
0,-51.46491437542529,-48.958050687877034,-48.64264196171529,-49.81460382298625,-51.13194354064203,-44.442725403708934,-42.812974669949575,-50.67137506816156,-48.205629072338695,-47.024546005528975,-45.48120675155185,-49.407346543039836,-50.76627891921579,-50.85313832524096,-48.5199169411314,-44.3156832965397,-45.90228486974681,-48.5739068842011,-50.51094577848047,-44.07498509193145,-45.44917309600703,-50.04685892440684,-49.906422723281835,-49.87750631680968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-51.45252617048986,-48.96168753237343,-48.693976630915046,-49.78544402436811,-51.16299383637436,-44.39292404688249,-42.898653286346224,-50.64399606401377,-48.248548133669864,-46.97588019613812,-45.535589689062164,-49.42606088928676,-50.795604775934834,-50.887921874674014,-48.49792765074784,-44.35084130087773,-45.92986474903847,-48.54119454960809,-50.54609984516824,-44.00162635191052,-45.47537976484829,-50.05505795886171,-49.910886667380474,-49.907862963184854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-51.44121658249561,-48.96201773556578,-48.74976934766471,-49.75692132657176,-51.19498178587409,-44.34836273294213,-42.998010911231795,-50.61745882266818,-48.28426040382731,-46.90465656683266,-45.59736686164591,-49.44552867517449,-50.828017166479114,-50.92468751742621,-48.476790984055654,-44.396277456474834,-45.96280276972831,-48.51014291049288,-50.576592406142716,-43.94053455388077,-45.4906502518359,-50.06398989414011,-49.89984477305868,-49.92876143744624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-51.43100847580877,-48.96093670170737,-48.80994223304252,-49.72904198708997,-51.2278859970702,-44.30917679497657,-43.011257565842975,-50.591777926827845,-48.32165510874603,-46.837916679002106,-45.666522612781044,-49.46573022013556,-50.863506720127305,-50.96340387497234,-48.4565217431583,-44.45220738185098,-46.00091013082029,-48.480792565221655,-50.60166898133694,-43.89198146271153,-45.50830668696905,-50.07364605569058,-49.89252793993014,-49.94292872543333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-51.421926612817195,-48.94575242335193,-48.87442130377215,-49.701808276883035,-51.261688854340576,-44.275505882526915,-43.02676215423432,-50.56696914420061,-48.360698837913986,-46.775773054967786,-45.7430472147594,-49.48190940237838,-50.902068109621574,-51.004039552160805,-48.43713362278153,-44.517579325088576,-46.023640946664116,-48.45318183940212,-50.621087075907234,-43.85625100630233,-45.530748014416666,-50.08401695353787,-49.88396245439466,-49.961075684729266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-51.41399515054665,-48.935275218941726,-48.94313462945001,-49.67522675683733,-51.29637124581723,-44.247495065258356,-43.05587062163747,-50.54040072922614,-48.401359071723675,-46.718340864564574,-45.826927494591565,-49.49798436007957,-50.93720446131127,-51.04656466605565,-48.4186434277354,-44.568680904759155,-46.045192124955975,-48.424641835064975,-50.641485652298286,-43.825789396420156,-45.557832324248054,-50.09509354505039,-49.86213483139676,-49.969337473546425,-51.60610888330695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-51.39904029279312,-48.92953496614886,-49.01601131402603,-49.649301765566605,-51.33191451437721,-44.22529689382215,-43.09832067923648,-50.49392693364254,-48.44360515162995,-46.66574202636652,-45.90298796577948,-49.514801593380504,-50.95663071895149,-51.090950459462206,-48.40106810058178,-44.568300431015864,-46.03761268079607,-48.391375785535395,-50.66284437420484,-43.76735810109714,-45.58942172962405,-50.1068690983356,-49.82176090659777,-49.97266526368557,-51.573698991589964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-51.382289183829535,-48.92856312680066,-49.069537025267984,-49.62054222670218,-51.36830118047055,-44.19736677294505,-43.15385900266622,-50.44825382854104,-48.48740720985838,-46.618099776778735,-45.96585871373204,-49.53233971805594,-50.97903452151481,-51.13716781653495,-48.38442411287676,-44.53917652925017,-46.03463617286777,-48.34772255109766,-50.68514666175061,-43.72218920343055,-45.61506011874343,-50.11933360537811,-49.78381533078693,-49.97989850816253,-51.53800675697755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-51.366656987898,-48.93238972727204,-49.117382618241635,-49.58552476640074,-51.405513890835806,-44.170772218129876,-43.22224054471101,-50.403394685734995,-48.53273623505905,-46.57554410031901,-46.016982606022985,-49.55058053210233,-50.98968204175578,-51.185189221116694,-48.36872940233687,-44.51936534549883,-46.037124787151214,-48.30165696319534,-50.70837668109177,-43.656863713029196,-45.63292872743937,-50.13249296903513,-49.74973500834053,-49.985977397697035,-51.50331882428614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
