,982,1004,1027,1049,1071,1072,1093,1094,1116,1138,1139,1160,1161,1183,1184,1205,1206,1227,1228,1250,1251,1272,1273,1295,1317,1318,1339,1340,1362,1384,1385,1406,1407,1408,1429,1430,1451,1452,1474,1496,1497,1519,1363,1117,1475,1296,1005,1050,1229,1386,1162,1453,1341,1095,1274,1207,1431,1364,1542,1520,1028,1140,1319,1073,1498,1252,1185,1409,1342,1476,1118,1297,1006,1051,1230,1387,1163,1454,1320,1096,1275,1543,1208,1521,1432,1365,1029,1141,1298,1499,1074,1253,1410,1186,1343,1477,1119,1276,1231,1007,1052,1388,1455,1164,1321,1097,1544,1254,1522,1209,1433,1366,1142,1030,1299,1500,1075,1232,1411,1187,1478,1344,1120,1277,1210,1053,1389,1456
0,-51.65816597584514,-51.159257520324395,-49.65608684846241,-47.497288318269185,-47.88385589505542,-50.1260191483507,-50.30421074948087,-46.232092204918516,-43.322774056094275,-46.421193080036744,-48.5626779728086,-50.17738577313104,-43.59083376054613,-42.08453608595677,-51.17046959215516,-47.00966405857068,-47.321261614434945,-51.01465910043409,-42.455878452133746,-43.722217727471815,-50.39858693794408,-48.5568357497046,-46.14580431004005,-41.889014062814184,-45.12850406840588,-49.21251702715115,-49.760803055087365,-44.25580187085182,-41.589910721990925,-46.257057940016175,-48.032837773690076,-50.63867216314562,-43.5881758178994,-51.255138146075076,-43.896772062318654,-48.40655119413246,-48.260523547848024,-46.79668991301055,-47.8451783861499,-50.628066848009006,-50.697079482382385,-50.50853131366836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-51.675569813937,-51.19235694631597,-49.64211858724737,-47.49118410373298,-47.90970957949074,-50.112807965612014,-50.340420472418934,-46.24497894691829,-43.329909109653386,-46.459668736699655,-48.52375253895967,-50.21666514256809,-43.57963300001677,-42.165591517422996,-51.138383977582514,-47.073921076558555,-47.26891491893642,-51.0536094170225,-42.45894895054042,-43.7763657433079,-50.38130962427271,-48.598145783913495,-46.11184608928433,-41.849700692766675,-45.1912908418094,-49.16314691427897,-49.796886830953454,-44.207752099867285,-41.704472734737124,-46.300273885397274,-47.99852950170545,-50.66696749600899,-43.57610730175817,-51.224469758801796,-43.94455257368503,-48.35734492210765,-48.28715394084441,-46.76083824988082,-47.86584752495385,-50.641886092808626,-50.686210147883095,-50.51488824663596,-51.60689246115845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-51.69516133401557,-51.22873136152493,-49.62957836006149,-47.484545791498505,-47.941963405472194,-50.10051076549469,-50.378090606809494,-46.26168697896648,-43.35541588970803,-46.50382283946058,-48.48666905792662,-50.25692541125334,-43.56770887647768,-42.16110900345974,-51.1070319849605,-47.14126695427993,-47.21717329810555,-51.09325487620174,-42.49174494539842,-43.806428894852544,-50.35722714425723,-48.641435745893624,-46.052323351844194,-41.8082148902515,-45.262410193629464,-49.115229902534,-49.83416377577647,-44.154536748760904,-41.7795406093216,-46.34777789076706,-47.96682780881271,-50.69610779863959,-43.57154052302256,-51.194633242863745,-43.97045855220691,-48.31182398290585,-48.3151190648194,-46.63538862772252,-47.88674975075976,-50.65633562423389,-50.67865561981265,-50.524855764814866,-51.57185351028852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-51.71696579602057,-51.268366875852614,-49.618500318462225,-47.48541632779418,-47.980482681922744,-50.089140257575984,-50.41719269123422,-46.24991137924911,-43.32679979212795,-46.55348953611288,-48.44240482958084,-50.2981467985498,-43.49277445008327,-42.14656105755977,-51.076428423722604,-47.21160914208575,-47.16196506771397,-51.13358446952461,-42.452411750128874,-43.848764361805834,-50.319878995764,-48.68665900298748,-45.99200586567232,-41.73766517114451,-45.32394968402918,-49.06880560495459,-49.86841275383543,-44.1077853875094,-41.815922682019234,-46.39944613852026,-47.93617356230034,-50.72607990590164,-43.50787650472229,-51.16564548530009,-44.00755068875295,-48.2566613330947,-48.34475737789329,-46.521060398603794,-47.90503389213466,-50.67140645118175,-50.6544208505473,-50.53843567238051,-51.53742538542275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-51.741009300813886,-51.311251631571295,-49.60892198886916,-47.49384556162798,-48.02513697197593,-50.06814048826542,-50.444710698662504,-46.23602212026004,-43.31323545318993,-46.60851023571195,-48.39487388331065,-50.34031032525434,-43.42149899951388,-42.16027533057739,-51.04658535441487,-47.2762261589363,-47.11025648785277,-51.17458671768533,-42.353348094524826,-43.89816337642114,-50.28352917873335,-48.726058396216,-45.937735434999915,-41.6388467842316,-45.38283314667573,-49.023910812138894,-49.902901838303755,-44.051481074953564,-41.80479468601868,-46.45516099545042,-47.8869125405902,-50.756870524549136,-43.44803187120425,-51.13752145800803,-44.0395682166649,-48.20306422439357,-48.376036673887754,-46.41783563483025,-47.91465895426284,-50.6870876507211,-50.62570823321211,-50.55563020473624,-51.503617572677776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-51.767316801337444,-51.31911282157717,-49.58795811011317,-47.50988343569449,-48.054933543000146,-50.04562348439572,-50.46959957674693,-46.2046909638738,-43.32303221275333,-46.667460236596916,-48.349164609545454,-50.38339644485753,-43.354118585864256,-42.15584305274469,-51.01751896114158,-47.327680659863425,-47.062157219648206,-51.21625180277819,-42.278099346698255,-43.945821446493824,-50.24819824015984,-48.76352132243535,-45.86934929871593,-41.516802826192745,-45.449554384305614,-48.98058784034948,-49.93855327290491,-43.98266673111902,-41.81303963812476,-46.51480826418429,-47.840260879115526,-50.784221932935154,-43.3828598229917,-51.110277742012215,-44.06021554779549,-48.15332487094568,-48.40892283640957,-46.325706726643894,-47.91850058579422,-50.70336961947616,-50.60033903006941,-50.562703021872494,-51.47044126387168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-51.787625487497266,-51.32177500757115,-49.565510917420525,-47.53358580156163,-48.077562426896066,-50.023923171294875,-50.49595096966578,-46.17793145096499,-43.35011369062882,-46.68870216562016,-48.3053183025363,-50.427385986826465,-43.28462195906249,-42.15373659363987,-50.98924137918647,-47.38203662724948,-47.009006771318944,-51.25856897250324,-42.22988416790094,-43.99919877102051,-50.21390613516288,-48.80281881068007,-45.80425410680284,-41.39708187456939,-45.52195043558295,-48.93760418891725,-49.975340665192086,-43.92628870887847,-41.80887077270672,-46.57827863060864,-47.7963011681946,-50.80732555836047,-43.31525862726178,-51.08393000293002,-44.07599912671114,-48.10755134719216,-48.4433845080612,-46.2446761332513,-47.92578938035842,-50.72024270338379,-50.57836576074293,-50.56803977515634,-51.437907717937044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-51.78963117343102,-51.3172622739101,-49.544557959340196,-47.56501089153201,-48.090110737915744,-50.00305972702851,-50.52373765383166,-46.14438161894901,-43.37562143287233,-46.699224999079895,-48.263377530489386,-50.47226253883764,-43.21978052272257,-42.17879462071948,-50.96098687311296,-47.43921408423195,-46.95412307311558,-51.30152776733685,-42.20504317712699,-44.03435512081862,-50.180675339705815,-48.843904227390674,-45.74557968954898,-41.285472227162,-45.5923225551784,-48.89138376387536,-50.01323714867837,-43.882783307437975,-41.81829246814829,-46.643801006131234,-47.754664811046666,-50.83127434911556,-43.2682435417031,-51.05849697027047,-44.103383051792484,-48.0594822762454,-48.47939020286855,-46.1747568095117,-47.93644085682239,-50.737696919991286,-50.55828049576046,-50.576874237986395,-51.40602932554305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-51.79388334217165,-51.310912315464954,-49.525136817724835,-47.581759639900724,-48.096653372593764,-49.98304459078654,-50.546022402766155,-46.103598984335925,-43.42444797648366,-46.70570426145743,-48.22338734401198,-50.51800672555083,-43.16208881111634,-42.198199123337695,-50.92996395595132,-47.49913922716571,-46.90306551175722,-51.34511914854652,-42.15514411780528,-44.059560445067106,-50.14852810895086,-48.88673259982831,-45.69355659133521,-41.216226225840686,-45.6697855290193,-48.840223249620784,-50.05221744913747,-43.84535541921343,-41.81960301698241,-46.692121390727436,-47.7091695923033,-50.85605355545509,-43.242232319091336,-51.03399447025996,-44.12792020959577,-48.003198988886794,-48.51690928197509,-46.11597026367609,-47.950371342380976,-50.75572334016573,-50.52919579666864,-50.57994620642964,-51.36982659464738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
