,476,498,499,520,521,543,565,566,587,588,610,1082,1104,1105,1127,1149,1150,1171,1172,1194,1195,1216,1217,1239,633,544,1128,454,611,1083,1173,477,589,522,1240,1106,1151,1218,567,500,1196,634,545,1129,612,1084,1174,590,523,478,1241,1263,1107,1219,1152,568,635,1197,501,657,546,613,1130,1175,1085,591,1264,1242,524,479,1220,1153,1108,569,658,636,1198,502,547,614,1131
0,-49.0844601037587,-47.02387566210188,-51.078958519998416,-48.92415461496982,-46.417147107566436,-40.389405468134065,-46.074782859327755,-49.53529529251797,-50.888255012360695,-47.44859299927219,-48.88713510541811,-50.47785324757562,-51.135886731960554,-49.04728300895489,-45.34350713518472,-46.46996248078882,-48.543377143013785,-50.31538380593905,-43.6464859246169,-44.65274574665581,-51.62758258963257,-49.70690611911706,-49.761074886015976,-50.19241168327204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-49.092563478477906,-47.046253817395666,-51.039855184570854,-48.97832590294597,-46.37545342827541,-40.410577027322134,-46.09386902471424,-49.49005949180864,-50.9145746694929,-47.43779171043358,-48.89988827448644,-50.496014421630555,-51.14941270038538,-49.02541865190206,-45.363490343447246,-46.55576486654134,-48.49735222949808,-50.35886378942539,-43.606306831372194,-44.65332415586977,-51.592412510048995,-49.730579871309274,-49.73938289747622,-50.17172740832436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-49.090532526582884,-47.07585492629842,-51.001376005729576,-49.034334628851035,-46.33634525638837,-40.45025350208272,-46.11607535943196,-49.44550060945312,-50.9414824859465,-47.43450908261566,-48.915596798682294,-50.5181869223549,-51.16521613922619,-49.00476466816097,-45.357667248375336,-46.59277105811079,-48.45289219191222,-50.403159173991334,-43.50566200650203,-44.65788322146372,-51.55519099771492,-49.754799412753925,-49.69836103418514,-50.13654477167654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-49.09035738819085,-47.111133064893636,-50.96352518792942,-49.09213788776433,-46.29066933964931,-40.50848095134842,-46.1413461149483,-49.402738072486,-50.968974665641866,-47.43800078284133,-48.9342042229731,-50.53397014235028,-51.18326091098179,-48.9853510718585,-45.34262665212449,-46.624402115968515,-48.41003398902153,-50.44825567508194,-43.38704218112042,-44.66632105412238,-51.518854139753074,-49.77956408594595,-49.660672367292634,-50.104075754339576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-49.09208640225238,-47.137530028902,-50.926308140504545,-49.145919589678186,-46.23843685138523,-40.585336457715115,-46.169629819519436,-49.36181607905724,-50.99704483680161,-47.40921619539647,-48.95565148165963,-50.54177129550948,-51.203508729258104,-48.96720735428927,-45.33652122237584,-46.66039892545227,-48.36880653708314,-50.48271716905521,-43.27738212331192,-44.67854050631789,-51.48341687621301,-49.80487622260039,-49.62636748745554,-50.07459721351128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-49.095767643476016,-47.17082976836628,-50.889728531368384,-49.18766704304369,-46.18898150641749,-40.68092855719769,-46.20087544242249,-49.32277610662418,-51.02568957244113,-47.37547598763177,-48.96330365253438,-50.55359919849732,-51.22592403649527,-48.95036608582381,-45.339474001044586,-46.6964669242964,-48.329246286636476,-50.51790904134394,-43.18139361461295,-44.694447734046136,-51.44889564430165,-49.83073735838528,-49.595500650287335,-50.048088914207014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-49.10144909274485,-47.210922520591694,-50.853791772100166,-49.23118345328327,-46.14234704029117,-40.795400285758944,-46.23503337847403,-49.28566574213693,-51.054903243671426,-47.34916714715439,-48.970494062083816,-50.56944430937947,-51.250471034431875,-48.93485918270554,-45.335044625759465,-46.73729301143189,-48.29138895379084,-50.553911865525414,-43.089934668728034,-44.713951297822646,-51.414015024414255,-49.857147802775486,-49.568125501870064,-50.024531435180954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-49.08557354640105,-47.25770283923949,-50.818503090038575,-49.276430295111,-46.091086913994694,-40.92893292443682,-46.272054328643144,-49.250530197695724,-51.08468177468968,-47.33033454363693,-48.98045644910666,-50.56463806591445,-51.277116626045746,-48.920719711745576,-45.325466963398775,-46.78272202499356,-48.24560359089208,-50.59071222096946,-43.010088191871404,-44.73696795551693,-51.37248642450977,-49.88410917332384,-49.544299146964036,-50.0039042217983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-49.06437979821404,-47.31107056750355,-50.7838665177222,-49.315799059886736,-46.04057145257724,-41.081744888250675,-46.311892386846154,-49.21741726688015,-51.11501992544504,-47.30762360253857,-48.99313662500607,-50.56085189494435,-51.3058266957789,-48.90798171519702,-45.3175131610768,-46.83260413123415,-48.195538765981524,-50.62829562411341,-42.94445829607244,-44.76341375693157,-51.33186665128086,-49.91162314021399,-49.52301861606073,-49.98619028989357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
