,time,696,718,763,785,830,875,897,942,964,808,741,920,674,853,786,987,719,898,965,831,764,697,943,876,809
0,0,79.70594303814781,79.16769562180153,95.723675336621,70.18390096158325,97.79036013744879,75.76852096919647,90.95140022264489,77.67555204367909,69.38505758092467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,80.04366017827905,78.726829709931,96.00865823536085,69.74697304081347,97.68824107770556,76.23754544905603,90.5627911452231,78.02393738933678,69.12080069535526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,80.37730568695012,78.28549081622232,96.28180458798117,69.31274912715165,97.57147914703457,76.7081198508585,90.16727874537969,78.36927083894572,68.85424963734154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,80.70663797423404,77.84388020605275,96.54275988543007,68.88128342112044,97.44021240194664,77.18010556484347,89.76521499993063,78.7113238940567,68.58553403268756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,81.0314418569018,77.40216520243173,96.79121716495445,68.45262681510307,97.29462348804985,77.65337843818054,89.35694780224048,79.04989926078463,68.31477086449547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,81.3514773012276,76.96052117664941,97.02686530565171,68.0268112215791,97.13490658767832,78.12777442380767,88.94284754973572,79.38478237022754,68.04209114686569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,81.66651663537662,76.51911086532245,97.24938942854934,67.60388181489381,96.96127763231136,78.60315055718915,88.5232342808639,79.71575535705729,67.76760271181303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,81.97632244343097,76.07810454860613,97.45851451295717,67.18387562554487,96.773973607538,79.07934390025075,88.09846765730056,80.04259721491782,67.49143242282278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,82.28065520085735,75.63764034972438,97.65396340262363,0.0,96.57322000465966,79.55618497355435,87.66887466040764,80.36508396461781,67.21369448473448,67.15318641487987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
